sample_index,review,true_label,predicted_label
90,"  We travelled on Singapore Airlines many years ago in economy class. We travelled this time in business class because of the long flight. The service provided on the latest trip was very good, however we did pre order some food that disappointingly did not arrive but the flight menu options were good. The biggest problem we had was the seating arrangements in business class, the seats were hard and uncomfortable. A weird cover was provided to increase comfort. The problem was no calf support and any way shape or form, this has a big impact on leg comfort. There was a flap thing that came out but onlyto the back of the knee which was so useless. The second problem was there was no tunnel to slide into for a flat sleeping position. Instead of the tunnel there was a shelf that had to be pulled out but this was to the side of the seat. Instead of laying flat which we were supposed to achieve the side shelf meant sleeping at an angle which was so uncomfortable. I do not understand why Singapore Airlines would ever believe that their seating arrangements would provide comfort. Cost is huge for these additional benefits for both comfort and health as older people travelling. The outcome is of course we won’t be travelling business class with Singapore Airlines again which is really sad.",0,1
103,"  
We used this airline recently for our trip to India and will not recommend this airline . Both ground service and cabin crew service not very friendly neither very welcoming. For a 16 hour straight flight you get two full meals and the snacks are just some nuts. No sandwiches are offered unless you ask for it. Meal services are also different, kids are not served first always.(sometimes yes they do). Meals also has no varieties like others  like no fruits or yogurt. We were very excited when we got the tickets as it was our first time using this airline but will not use in the future.",0,-1
110,"  Flight I had with Singapore Airlines are late by up to 90 mins on arrival.  It’s inferior to Qatar Airways business class : underwhelming lounges, okay onboard catering, no dining-on-demand, quirky flat-bed seats (on the A350ULR and more so on the new A380), meager amenities onboard. The cabin crew is somewhat the only part of Singapore Airlines nearly on par with Qatar Airways.",0,1
111," 22 April flight from SG to Seattle. In all my experience flying with Singapore Airlines, this was the first time I saw more stewards than stewardesses on board. While the cabin crew service was excellent as usual, I would like to give a special shout out and thanks to Cheryl, Jessica and Crystal for their top notch service that is befitting of the Singapore Girl name. On the contrary, the inflight meal was a disappointment. From the menu selection and food quality to the presentation, they are not fit to be served on board an airline as prestigious as Singapore Airlines. The pandemic is over. It's time to revitalise the quality of your inflight meals.",0,-1
115,"  Used Singapore Airlines between Cape Town & Bali, check in at CPT very quick and polite as was security and immigration. SQ use the Bidvest lounge which was fine with decent food and seating, boarding was covered quickly so soon at my seat 12A. Once onboard drinks served before departing on time. This flight makes a short stop in Johannesburg where passengers remain on the aircraft, a small lunch served on the first leg by a nice crew. With a new crew departed JNB on time for the 10 hour flight to Singapore, food lunch/breakfast and service during the flight very good as was the seat and TV Options. Arrival in Singapore a little early after a pretty bumpy flight, transfer was fine using the Silverkris lounge in T3 for a coffee and shower before boarding the flight to Bali this time on a 787-10 my favorite SQ Aircraft. Departed a little late for this 2hour 20 minutes flight, crew very nice as was the food, bags delivered to the belt quickly all in all a great trip. I believe SQ are still up with the best. I guess the only thing missing is that amenity kit.",0,1
123,"  There were no manned counters available for economy class at all. Even 2.5 hours before the flight, no staff were available to assist us and staff in Perth airport were not familiar with the self check in kiosk issues. We took a good 2 hours to resolve our check in issues as there was a long line of people waiting in line as all of us had issues checking in via the online kiosks. There were only 2 staff walking around who arrived only 2 hours before flight. We were juggling the queue, our toddler, baggage and when we finally printed our boarding pass, we had to lug everything and our toddler who was cranky at this point from all the waiting and standing and queueing and then self check in our baggage one at a time. It was the worst service ever. Also the captain announced that there will be no wifi for that flight. ",0,-1
136," Imagine a 14 hour trip being near perfect. Boarding, crew, food, seat, Wi-Fi, drinks, all of it. This cabin crew was amazing and managed to be sincere while also being efficient. They seemed to truly want to deliver the best and they did. 14 hours literally flew by in the lie flat comfy seat. The crew was proactive and seemed available whenever I needed something.",0,1
144," Overall an ok flight. Lounge - SilverKris Changi is huge and was too over crowded. We had to sit at a canteen type table which was uncomfortable. We only stayed long enough to change our sim and change clothes. Way too busy. Gate/Boarding. We got in line. Was told there was no point as it hadn’t opened. We stayed in line as seats get taken in there fast. Boarding passes are scanned after security which meant the one gate agent could not cope when it was boarding time and everyone stormed the gate not adhering to groups or priority. Seat - narrow. Overhead lockers were too high for me to reach even with the little foot aid thing. Others had to help. No other storage except under the foot rest. There is a tiny cubby hole where ear phones, menu and water bottle were kept. Not a comfortable seat to sleep in being so narrow with no wriggle room. Hard being a side sleeper. Food - As all my other flights had poor quality food I opted for no meal, just sleep. The passenger in front argued with the FA over no breakfast service. Personally I believe there should have been a choice but no. The lovely FA verified no meal with me and offered to keep cheesecake aside that she would serve to me with coffee when I woke which was lovely of her. As I woke an hour or so before landing she was right there with what was promised. On arrival luggage arrived quickly so we were one of the first through customs with no long line. Overall the crew really are the highlight with Singapore Airlines. The rest is average to below average with definite cut backs evident. Also disappointed that when I booked this flight it was for the 777 which has better seats for sleep but that changed to the less than comfortable 350-900 medium haul.",0,-1
148,"  The flight seemed quite full with huge line up at the gate security area. No priority line but that’s ok. Boarding was odd with just a gate agent yelling out instructions. The seat was fine but no bottle of water which was disappointing. We used book the cook. My husbands beef cheek was tender but my steak was too tough to cut or even bite into. The crew were lovely but disorganised. The right side of the plane were offered bread after the meal not before. My side missed out entirely. Arriving at Ho Chi Minh city, no priority line for immigration. Never mind. It was a 5/10 flight. Nothing special.",0,1
166,"  Boarding while there is a power problem. So plane were no lights. Startup again power then no aircon! Delayed already, then excuse and safety demo. Then again captain still problems and sitting already one hour no aircon and just have to wait when or if they fixed it Serving warm water and while no aircon and still waiting to leave 22.00 hour. Last time SA for us.",0,-1
169,"  No staff at the transfer desk to issue boarding pass. I was told to proceed to the boarding gate for service. After one hour of waiting in a queue, several people including me were finally get their passes. While we were lining up, many travellers (probably first and business class) cut the queue to insist on going to the aircraft first.  From what I feel, they need a bigger crew to service the A380. Staff avoided eye contact with me to speed up their service. Food was not ready for the first meal. I had to wait half an hour for my main meal after finishing everything else. I was not offered a drink and when I asked, they signalled me to wait. I waited for another half an hour without any drink from the crew yet the guy two rows in front of me asked for a refill and was offered immediately. Second meal was a total disaster, it took an hour for our cabin to be served. To the point that, many people who were already served, they expected their trays to be cleared but nothing happened and many people took the matters into their own hands by bringing trays to cabin crew. Drinks were offered and served very minimally. I can confidently say it because my second flight later with an A350, it was a joy again. Everything ran on time. Polite and civilized boarding. No late service. I still can feel a drop in service as compared to pre-pandemic time.",0,-1
172,"  Still my favorite airline. Best Economy Class !, spacious seats with nice legroom, pleasing color fabric on seat covers. Each seat had a pillow and a blanket. You should ask to offer you an amenity kit (with socks, eye cover, toothbrush / paste). Pity they do not have inflight magazine due to covid (same excuse to save money and weight, a lot of airlines are using the same excuse). Both flights were on perfect A350 and on time. After takeoff they started the first service which was tasty and there was selection of wine, beer, drinks. After food was desert which was an icecream. During flight the crew was passing by the bottle of water for the passengers. At the galley there were some sandwiches and drinks. In the WC there were toothbrushes, cologne and cream. One hour before landing the second meal was served which was as good and plentiful as the first. IFE was great with a good selection of movies and easy to use. Great airline, keep the good work.",0,1
175," The check-in process at JFK T4 was seamless. We got access to the Wingtips Lounge, which was fine but there was nothing to be excited about. Boarding was orderly despite the fact that there were many passengers (our A380 flight that night was almost full). On board, the seat looks nice and comfortable, though one of the windows is blocked by the seat design. Staff were nice and attentive, something you would expect from SQ anyway. The food was excellent (I booked my main course from the Book-the-Cook menu). The flight arrived in Frankfurt a bit late, but not a problem at all. Overall, this is what a good flight should be.",0,1
186,"  Our first flight was delayed more than one hour, so we lost our connecting flight. The new booking provided was horrible. I was travelling with my four-year-old and the new seat provided is far away, and we were separated. All the family members are separated for the whole journey. Miscommunication between the crew members made us to walk between the terminals for 2 times. Didn't get any help from the crew, even though we requested to provide a seat together.",0,-1
189,  Great flight! I arrived yesterday morning in Amsterdam after an almost 13 hours trip from Singapore with my wife and small son. Flying in the business class of Singapore airlines was an amazing experience. The seat is very convenient. In the night the crew prepares a bed for you which was fine. I ordered before the flight the lobster which was absolutely delicious. The service during the flight was great. The crew was very nice to my son and us. The breakfast was also ok. All in all this was one of the best flight experiences ever for me! Amazing flight and service!,0,-1
193,"  Nice flights, first leg got Premium Economy seat (but still normal Eco-Service) being SQ Gold. Nice hot meal as per the new concept for short flight with SQ. Long layover in SIN, could visit the new Silverkris Lounge and then onwards on SQ's new 737max. Very comfortable plane, nice interacting crew and lovely dinner served, watching a good movie on their in flight entertainment!",0,-1
217,"  I thought I had excellent service from both the ground staff and the staff on the plane, they really did go out of their way to help me. The only downsides were I thought the mediocre food. having to wear a mask the entire time on an 18 hour flight and the fact my tickets say changes are complimentary but they want to charge me the full price of a ticket to change them.",0,-1
227,  Very disappointing service from SIA. Plane was dirty departing SIN and staff communication was poor. Staff were curt to the point of thinly veiled rudeness. Lots of room for improvement here.,0,1
233," Since COVID, Singapore Airlines service has been going down and prices going up, Phnom Penh to Paris which was approximately between 2800 and 3300$ is now around 5 to 6000$. They don't give any more amenity kits or we may have to ask? Also, they do not propose anymore any drinks like Champagne before taking off. The lounge quality is also not like before, I presume Covid is an excuse for everything but we are still paying the price so what? We should accept it I presume. The quality of the company service is clearly going down, I hope they will improve that for going back to their best but before reading that they are I will certainly try another company to see the difference.",0,1
234,"  After spending a little more on the flight than intended after flying on this return journey with Singapore was happy I did as the overall experience was second to none. The check in at LHR was seamless even with the necessary Covid checks in place and being done efficiently by the check in staff. Boarding the plane I immediately became aware of the ""Singapore girl"" exceptional customer service the airline is known for. The food service was efficient and rapid and there was a wide selection of other snacks available with a fruit bowl also with crisps etc for during the flight. The flight to Manila was smooth, service was also great even in the smaller less crowded flight. The staff continued to deliver amazing professionalism and attention to detail. The attention to detail became very noticeable on the return flight from Singapore to London. After another comfortable and pro professional flight from Manila I boarded the flight to London and for reasons unknown, my booked seat hadn't been reserved.  I was one of the first on, as I prefer to also sit at the back of the plane, and I mentioned it to the cabin crew who immediately took me off the plane, against the flow of oncoming passengers (I was that guy and felt very embarrassed) took me to the ground staff who radioed to the gate to change my boarding pass to an aisle seat which they did without any fuss or questions asked. As I had now moved seats and there are only so many meals in the trolley to cater for the expected number of passengers in each specific areas on the plane, my moving now had to be factored in and to my surprise I overheard once cabin crew day to the other ""Mr Taylor has moved from seat 67f to 46h"". When I left the plane the cabin crew by the door said ""Thank you for flying, See you again soon Mr Taylor"" Overall Singapore airlines for me is hands down the best and aside from the ground team at Singapore airport the experience was amazing and I will definitely be booking my flights with them again. Hopefully to try out their world class business class.",0,1
235,"  The airline refuses to refund my ticket for May 2022. The request to instead rebook my ticket if a refund is not possible was also never replied to. I had contacted the airlines on april 20th via their portal and have not received any answer until now. I had also called their customer service last week and had to wait 1 hour until someone picked up. The person that picked up was not helpful at all, putting me on hold for at least another 20 minutes in total. In the end my request to refund the ticket into credits or money or at least rebook the ticket in the same class for another date was not fulfilled. I was told I could expect another call from a manager in the same week which did not happen.",0,-1
242,  There was no water or juice served for one and half hours which was ridiculous. Food serving was chaotic as crew moving back wards and forwards in a disorganised fashion. We ordered Hindu non veg meal and ordered meal were missing from the cabin crew list. Quantity of my food was horrific. Service was all over the place and chaotic. When I questioned they said there are 30 kids travelling on a full flight. ,0,-1
249," First time on SQ business for a very long time so we were excited to see what it was like especially during COVID. Compared to the Qatar the hard product is not as good especially the Q suite. The book the cook worked well with course by course service with the chicken satay as amuse bush. Meal was excellent by any standard as was the service. Where they went above and beyond was when my 2 year old son was feeling unwell, they assisted more than I would ever have hoped for. Flight was a bit more turbulent than normal due to the different route to avoid Russia and the Ukraine. The flight landed late due to a headwind. Luggage was out by the time we cleared immigration. Only downside was the lack of a touchscreen and selection of shows was not as good as I remembered.",0,-1
256,"  Trying to contact them by the call center is a nightmare with a lack of customer service and inefficient. The seats on this aircraft were the new regional business class seats which are not bad. The IFE is also good and we had 100MB free wifi which was nice. The crew were good. However, the food was an utter disaster. For a 7 hour flight, we were given 1 miserable meal which was rubbery eggs and mashed-up vegetables. Book the cook was not functioning on this sector so we had no other choice. No welcome drink either. Standards have gone down drastically from many aspects.",0,-1
266,"  I fear for the future of airline travel when airlines appear to use the excuse of covid19 to reduce both the level and quality of service, especially for an airline previously renowned for its 1st class operation like Singapore Airlines. I was bitterly disappointed in my recent flying experience with them; from poor quality food to reduced service levels. The crew was still wonderful, but that can't make up for the overall feeling I was left with. Forget your business class comfort pack (in my view, covid19 is not a reasonable excuse for why this has been dropped), you now need to take your own eye patches/earplugs to be able to sleep if you are prone to light/sound. Instead, you'll receive a covid19 kit so you can clean your own cabin area. Meals were of such poor quality that I wished I had brought my own sandwiches. No menus are available so you have to try and listen to rather badly-pronounced meal choices to make your selection. I chose chicken and rice which turned out to be bland and gristly, with practically uncooked chicken skin (see photos). Apparently, the different meal choice of the passenger to my left did not go down well as they also left theirs untouched. My breakfast choice; scrambled eggs and sausage were served practically cold. Excessive amounts of plastic being used in meal preparation is also very disappointing in a world trying on the whole to reduce plastic. This is hands-down the worst experience in business class that I have ever experienced and was compounded by the overly-officious ground staff yelling at us (in hazmat-like suits) to walk in single file as we were marched to a 'holding area' rather than a business class lounge. In this holding area, not even water was on offer. Other lines of passengers transiting on different flights were ordered to stand against the wall whilst our group passed by. My very strong advice, whilst covid19 continues to plague travel, is don't transit through Singapore or use Singapore Airlines. ",0,1
269,"  I've never had a more frustrating experience trying to book a flight .. website saying unable to proceed, customer service tell me to keep trying different flights until one works. Then several credit cards declined. Customer service tell me to send an email, they say they'll call me back .. never do. Absolute frustrating mess!",0,-1
292," Melbourne to Singapore. This was our first time flying Premium Economy and my expectation was for Singapore Airlines was to provide an exceptional experience. Firstly the boarding in Melbourne was good, the ground and cabin crew were friendly and efficient. Plenty of legroom and nice comfortable seats. Noise-cancelling headphones were supplied although my wife had to ask for them as they weren't at her seat. The back of the seat in front was a bit grubby and I used an antiseptic wipe to clean it, there were some other grubby bits around the armrest and tray table. Champagne was offered and gratefully accepted. The meal service was prompt although it was just an economy meal. I was hoping for something a little better as I paid double the economy ticket price. Wine was offered however only one red and one white, I don't like Sauvignon Blanc and that was the only white. I did ask the flight attendant for a Chardonnay and she was very obliging and managed to find a glass for me. Big Plus! The flight was comfortable and the crew were outstanding. It makes a difference when the crew are customer-focused. Overall a good experience. Two things, ditch the Sauvignon Blanc and provide an upgraded Premium Economy meal.",0,-1
293,"  Jakarta to Singapore. I reschedule my flight the following day as day after is the lock down. I Top up more money for the ticket. I was confirmed on the morning 9.20am flight. However I received a email that evening that my flight for the next day morning was cancelled. Immediately there was no line, only you got to email. I have no choice but make it the next day for the night flight 20.20.  And true enough that morning there isn't any public transport, no taxi that day. I get the Hotel reception to assist. Upon check & reaching home, I learnt to appreciate our Singapore Airlines. They did it. I feel secure upon reaching the Jakarta Airport. A big thank you to Singapore Airlines. .",0,1
300,"  Makassar to Singapore. It took more time to Check-in since there’s Coronavirus concern in Singapore and they check our passport per pages because we are not allowed to visit or even transit In Singapore if you ever visit China in 14 Days, A little delay for boarding. The flight attendant is nice, the in-flight meal taste great. Singapore - Bangkok: First time using A350-900 and I like it, the aircraft still new and so fresh, The In-flight meal is good. Boarding time is great, on time.",0,-1
301," Flew economy Sydney to Singapore day flight. Very happy and a pleasant flight. Had a row of seats to myself. The A380 cabin was clean and did not look to be very old at all. Range of entertainment options was great. 2 meals served and had vegetarian which were both fine. Plenty of water offered and the crew were polite and professional. Despite news to the contrary, there were hot towels and blankets and pillows!",0,-1
330,"  Flew on Thursday 9th Jan 2020 from Singapore to Brisbane. Endured some turbulence flying out of Singapore for a few hours. I became nauseated and uncomfortable. Staff were very kind and helpful making sure I was looked after. Checked on me numerous times, throughout the flight. Very impressed with the cabin crew and would recommend flying with this airline in the future.",0,1
348,  Melbourne to Coimbatore via Singapore. Singapore Airlines has disappointed us in the last three trips. The price they charge is so expensive but from Singapore to our destination we get to travel in budget airlines which is Scoot or silk air. It doesn’t make sense at all. When we ask for help they say it’s a different management so we can’t help you further. Moreover there is no special assistance in those low cost airlines. Also the Singapore airport was so warm and the air conditioner was not controlled well across.,0,1
362," I have flown SQ a few times before, but find that the current A350 economy class seats are very uncomfortable, at least for a 6' person like me. BLR-SIN was a short haul flight which was even more tightly packed, SIN-MEL was marginally better. MEL-SIN was an older B777, which was far better than the new gen 350s in terms of economy class seats. I had booked SFML, but in every flight ended up getting a piece of tasteless, overcooked fish just dabbed with some tomato sauce - a big difference from my previous experience with seafood meal a few years ago. I do not think I will go for this option any more on Singapore Airlines. The flights were on time, the crew helpful, but overall my experience was far from being positive.",0,1
369,"  Melbourne to Singapore. First I flew in SQ and experience the lounges in both Sydney and Melbourne this month. I must say it's the worst experience I have ever had. Running out of food, decor bland and functional (barely) at best, staff sombre and angry. It is tragic for SQ to sell itself as a premium airline with such tired conditions. All in all disappointing experience on SQ",0,1
395,"  Seattle to Singapore. I was quite excited about flying the Singapore Airlines A350 in Premium Economy class. I chose the bulkhead (an additional $130 USD over the regular Premium Economy fare) as my seat.  I was disappointed with the seat. It was barely wider than an Economy Class seat, the leg rest might as well be non existent (it only extends about 3 inches), and there’s no dedicated lavatory for Premium Economy. Not to mention, the meals and cabin service are the same as Economy. Their so called Noise Canceling headphones aren’t noise canceling at all. I will pay extra for Premium Economy on EVA or Air Canada, but never again on Singapore Airlines.",0,-1
402,"  Jakarta to Singapore. I asked for a Vegetarian meal, but they gave us seafood instead. The fish is covered by pasta so we didn’t notice until my wife took a bite. Complain to one of the flight attendants, they said sorry, which to me isn’t enough. This is the 2nd time happens to me, not happy. Shouldn’t trust SQ that much.",0,-1
410,"  I flew from Jakarta to Hong Kong on September 19, 2019. The service was almost perfect. where the flight is very timely, excellent service from the cabin crew, wide space between seats. The only thing that is less comfortable in this aircraft is that entertainment on board still uses a remote system which makes operating the monitor more difficult than current full service airlines which almost all use a touch screen system. but for the whole, I really recommend you to fly with Singapore Airlines.",0,-1
434,"  Singapore to Delhi. This was our return journey on SQ406 (SIN-DEL) after we arrived in singapore 10 days before with them on SQ401 (which was definitely very good) Things took a U-turn here. The crew onboard was RUDE to the core. No courtsey, Zero on management. We were assigned seats at the end of the plane for 5 people. At the time of serving food, they served the entire plane before us, rows ahead of us and rows behind us, but did not offer us any food. after 2 hours of takeoff, with the entire plane almost dozed off after their meals, they came to us only to inform, they have no food available. Only 1 tray, that too with Fish. We were with a kid, hungry. Had we have known this, we would have had our own meal at the airport. On confronting them, they could only apologize. But somehow managed to get a veg tray from somewhere and we fed the little one. The entire journey we got nothing to eat! We travelled without meals.   6 hours journey. They had no remorse. Called them to serve water, they did not bother to serve it.  It was a nightmare of a flight. 4 of us were hungry throughout and were waiting for this nightmare to end as soon as possible. We could have done online checkin and booked our meals beforehand, but with the child, this is not possible to do so online and we had to do a manual checkin. Was this our fault? I don't think so.",0,1
436," Johannesburg to Singapore in premium economy on the recently introduced second flight. Priority boarding after business class allows time to settle in, with ample space in the overhead lockers. Just three rows in the cabin, with good legroom and comfortable seats, which have a decent recline. There is a footrest on the seat in front, and a calf rest attached to the seat, which seems to serve no purpose other than create problems for the crew in trying to them stowed for landing. Good sized TV screen which is easy to operate. Overall the hard product is good. However there is nothing premium about the service, which is strictly economy. There are no pre take-off drinks, and there was no bar service after take-off prior to the meal. This may have been due to the late hours departure and a wish to serve the meal as quickly as possible, but one would have thought that with a maximum of 24 in premium economy this would not have been a big issue. Amenity kits are no longer handed out, but the menu indicated they were available on request. Meals were tasty, but the same as economy, served on plastic trays. No sign of table cloths and proper crockery as shown on the website. Drinks are served in plastic as opposed to glasses, and in small quantities. Wine was a basic white or red in a small plastic tumbler half filled. Fruit juice slightly larger serving, but still meagre. No offers of refills until the trays were eventually removed. There are no dedicated crew in premium economy. Service starts with premium, but then proceeds through economy, with clearing starting at the back of economy, so that premium economy is the last to be cleared. With the time difference the second meal was lunch. This time I ordered champagne, served in a plastic stemmed “glass” amounting to half a normal glass, again no refills offered until trays cleared, at which time the champagne had disappeared from the trolly. The main reason for choosing premium economy is space and comfort, on which there are no complaints. However notwithstanding the fact that Singapore economy is amongst the best, it is not a premium economy service. Having chosen to pay a significant premium over economy, it is disappointing that the enhancements provided by other airlines are not provided.",0,1
438,"  Singapore to Perth. Seat layout was 1-2-1, although no skybed for such a short flight. The seats were narrower but still comfortable. I fell asleep even before take-off and then woke up after to set my seat flat. Due to jetlag, I spent the entire flight asleep and the air stewardess asked if she could get me something else to eat when we were about to touch down. Great service. I will definitely fly Singapore again - although I am not sure if business class is worth the short trip.",0,-1
448,"  Munich to Singapore. Simply the best! Singapore Airlines really delivers a best-in-class experience – seat, food, and entertainment were all fantastic. But where SQ really stands out is service; I've never seen cabin staff put in such dedication and professionalism: they remembered passenger preferences and native language throughout the 12 hour journey, were always there if you needed anything, and even personally showed passengers to their seats in economy & helped to get bags into the bins. Premium Economy really delivers a competitive product: notably more space and comfort than Economy without the expense or extra frills of Business (I'm 6'0"" and couldn't touch the bulkhead with my feet even when I stretched out and tried). Most comfortable Premium Economy seat I've tried.",0,-1
455,"  Bangkok to Singapore . I was looking forward to flying Singapore Airlines and their new B787-10. I had set my expectations at the same level as Qatar Airways, seeing the fact that they are both 5-star airlines. With this in mind, I would firstly like to say that I was not impressed with Singapore Airlines, as they were quite inconsistent across the categories. The website is user-friendly, but I did encounter some glitches. Online check in is slightly confusing but I was able to manage. We arrived at Bangkok Airport 3.15 hours before our flight, and the check in counters opened 2.45 hours before the flight. It was extremely confusing which line is for which passenger, as they separate Business and Gold into different lines. In the end we were very quickly checked in at the gold counter. Luckily at that time of day security and immigration moved quickly. The Silverkris lounge in Bangkok is in a word, exquisite. The decor is very fancy and there is a manned bar with a barista making craft drinks and all sorts of coffee. Seats were plenty, clean and even the toilets are cleaned after every use! The breakfast buffet was slightly disappointing, but I have come to expect that with all airlines. Boarding was extremely confusing, they asked gold members to queue up with business class but the sign asks them to queue up at the economy door. Not only that, they board business class passengers first then gold members, which makes a mess! Other Star Alliance carriers just board gold and business at the same time. Hassle free! I received a warm welcome at the door, and found my seat. The flight attendant was even kind enough to help my mum lift her suitcase into the overhead compartment! I would never expect a flight attendant to do it out of the blue! The seat was, in a word, horrible. It was so narrow! Qatar Airways also has 3-3-3 seating on their 787s, but it wasn't this narrow. I'm slightly large, but even my rather small mum sat shoulder-to-shoulder with the other passenger in the window seat! Legroom was fine. What I don't get is that these aircraft with small seats are being deployed on flights as far as Brisbane, an 8 hour hop. However, the bad seat was overshadowed by the service. On my outbound flight from Bangkok, I chose a seafood meal and got the same thing I get all the time flying Star Alliance out of Bangkok, mixed grilled seafood served with tomatoes, peas and duchess potatoes. The catering was provided by Thai Airways, and even had the Thai Airways logo on it. Needless to say, it was very nice. On my return flight, when coming around for drinks, the lovely flight attendant noticed me checking the white wine bottle to see what it was, and I love the way she asked if I wanted the Sauvignon Blanc rather than""white wine.  The crew on Singapore Airlines are fantastic, and very hardworking. Entertainment was adequate, I wouldn't be bored even on the longest flight. On the return flight, we checked in 7 hours before departure time as we wanted to explore Jewel. Absolutely recommended. The gold lounge in Terminal 2 was an absolute disappointment! Even the Thai Airways lounge in T1 is better! Other than that, this flight was almost identical, except for some very strong turbulence. Overall, Singapore Airlines is a good choice. If they can improve their seat and value their star gold more, I would be a returning customer.",0,-1
462,"  Singapore to Manila. Old plane with dirty interior.  The cushion was depressed so you are left sitting on a hard bench. Entertainment system rarely works and the crew don't care about anything. On these poorer routes, they use these older planes which means often they break down leaving you stranded. Really poor value for money and definitely not the quality airline of the past.",0,-1
492,"  Shockingly rude staff, I had flown Singapore as a child with the fondest memories. Had paid double our tour group and opted for Singapore over a low cost Asian airlines. Totally regretted it - staff so rude to the children. Food awful. No drinks offered except one with meal. Total waste of thousands of dollars,  our group had an outstanding experience with the low cost carrier.",0,1
